format	width	quality	size	dssim	filename
webp	300	75	9922	0.00237268	./quality-samples/sample2.jpg
webp	300	74	9874	0.0023539	./quality-samples/sample2.jpg
webp	300	74	31860	0.00205017	./quality-samples/sample0.jpg
webp	300	70	28160	0.00256488	./quality-samples/sample1.jpg
webp	300	73	31640	0.00211822	./quality-samples/sample0.jpg
webp	300	75	31910	0.00203844	./quality-samples/sample0.jpg
webp	300	72	31510	0.00220871	./quality-samples/sample0.jpg
webp	300	71	31490	0.00219063	./quality-samples/sample0.jpg
webp	300	78	11184	0.00195149	./quality-samples/sample2.jpg
webp	300	76	10376	0.00211981	./quality-samples/sample2.jpg
webp	300	80	12018	0.00171106	./quality-samples/sample2.jpg
webp	300	77	10926	0.00192349	./quality-samples/sample2.jpg
webp	300	79	11646	0.00185402	./quality-samples/sample2.jpg
webp	300	71	28302	0.00250619	./quality-samples/sample1.jpg
webp	300	74	29250	0.00232361	./quality-samples/sample1.jpg
webp	300	72	28484	0.00243841	./quality-samples/sample1.jpg
webp	300	75	29800	0.00223839	./quality-samples/sample1.jpg
webp	300	73	29074	0.00238814	./quality-samples/sample1.jpg
webp	300	80	33970	0.00148092	./quality-samples/sample0.jpg
webp	300	76	32208	0.00191303	./quality-samples/sample0.jpg
webp	300	77	32724	0.00178629	./quality-samples/sample0.jpg
webp	300	78	33106	0.00167983	./quality-samples/sample0.jpg
webp	300	79	33468	0.00159967	./quality-samples/sample0.jpg
webp	300	70	28022	0.00292529	./quality-samples/sample3.jpg
webp	300	84	14368	0.00130907	./quality-samples/sample2.jpg
webp	300	82	13042	0.00145468	./quality-samples/sample2.jpg
webp	300	81	12646	0.00161076	./quality-samples/sample2.jpg
webp	300	83	13714	0.00139095	./quality-samples/sample2.jpg
webp	300	85	15154	0.00110579	./quality-samples/sample2.jpg
webp	300	78	33166	0.00181192	./quality-samples/sample1.jpg
webp	300	79	33928	0.00171007	./quality-samples/sample1.jpg
webp	300	80	35836	0.00153911	./quality-samples/sample1.jpg
webp	300	76	30662	0.00211626	./quality-samples/sample1.jpg
webp	300	77	32246	0.00192885	./quality-samples/sample1.jpg
webp	300	81	34410	0.00140728	./quality-samples/sample0.jpg
webp	300	84	35898	0.00114989	./quality-samples/sample0.jpg
webp	300	83	35380	0.001247	./quality-samples/sample0.jpg
webp	300	82	34854	0.00135659	./quality-samples/sample0.jpg
webp	300	85	36358	0.00110038	./quality-samples/sample0.jpg
webp	300	73	29346	0.00270664	./quality-samples/sample3.jpg
webp	300	74	29346	0.00270664	./quality-samples/sample3.jpg
webp	300	71	28396	0.00284641	./quality-samples/sample3.jpg
webp	300	75	29786	0.00258854	./quality-samples/sample3.jpg
webp	300	72	28522	0.00282205	./quality-samples/sample3.jpg
webp	300	89	18310	0.00090905	./quality-samples/sample2.jpg
webp	300	88	17432	0.00086631	./quality-samples/sample2.jpg
webp	300	87	16780	0.00092208	./quality-samples/sample2.jpg
webp	300	86	15822	0.001245	./quality-samples/sample2.jpg
webp	300	90	19688	0.00074191	./quality-samples/sample2.jpg
webp	300	82	38420	0.00133515	./quality-samples/sample1.jpg
webp	300	83	39602	0.001242	./quality-samples/sample1.jpg
webp	300	85	43484	0.00099192	./quality-samples/sample1.jpg
webp	300	84	41662	0.00110616	./quality-samples/sample1.jpg
webp	300	81	37238	0.0014396	./quality-samples/sample1.jpg
webp	300	88	38358	0.00090011	./quality-samples/sample0.jpg
webp	300	87	37664	0.0009455	./quality-samples/sample0.jpg
webp	300	86	37014	0.00102491	./quality-samples/sample0.jpg
webp	300	90	39956	0.00078664	./quality-samples/sample0.jpg
webp	300	89	39048	0.00083834	./quality-samples/sample0.jpg
webp	300	78	32992	0.00212354	./quality-samples/sample3.jpg
webp	300	80	35274	0.00188762	./quality-samples/sample3.jpg
webp	300	92	22758	0.00058034	./quality-samples/sample2.jpg
webp	300	79	34240	0.00198637	./quality-samples/sample3.jpg
webp	300	77	31750	0.00230549	./quality-samples/sample3.jpg
webp	300	94	27612	0.00045169	./quality-samples/sample2.jpg
webp	300	95	29578	0.0004252	./quality-samples/sample2.jpg
webp	300	91	21372	0.00063787	./quality-samples/sample2.jpg
webp	300	76	30762	0.00241393	./quality-samples/sample3.jpg
webp	300	93	24558	0.00051799	./quality-samples/sample2.jpg
webp	300	89	52086	0.00066927	./quality-samples/sample1.jpg
webp	300	87	47746	0.00082111	./quality-samples/sample1.jpg
webp	300	86	45102	0.00091779	./quality-samples/sample1.jpg
webp	300	88	49436	0.00074765	./quality-samples/sample1.jpg
webp	300	90	54788	0.00058138	./quality-samples/sample1.jpg
webp	300	94	43564	0.0006356	./quality-samples/sample0.jpg
webp	300	92	41262	0.00072271	./quality-samples/sample0.jpg
webp	300	95	44774	0.00061307	./quality-samples/sample0.jpg
webp	300	91	40518	0.00075852	./quality-samples/sample0.jpg
webp	300	93	42646	0.0006711	./quality-samples/sample0.jpg
webp	300	97	36222	0.00034401	./quality-samples/sample2.jpg
webp	300	82	37952	0.00166499	./quality-samples/sample3.jpg
webp	300	98	38616	0.00033121	./quality-samples/sample2.jpg
webp	300	96	32334	0.00037751	./quality-samples/sample2.jpg
webp	300	99	40942	0.00030844	./quality-samples/sample2.jpg
webp	300	81	37246	0.00172071	./quality-samples/sample3.jpg
webp	300	85	42810	0.00130934	./quality-samples/sample3.jpg
webp	300	83	39906	0.00148107	./quality-samples/sample3.jpg
webp	300	84	40748	0.00144361	./quality-samples/sample3.jpg
webp	300	93	65068	0.00038893	./quality-samples/sample1.jpg
webp	300	95	72794	0.00030372	./quality-samples/sample1.jpg
webp	300	100	116952	0.00004226	./quality-samples/sample2.jpg
webp	300	91	58752	0.00049645	./quality-samples/sample1.jpg
webp	300	94	68898	0.00034419	./quality-samples/sample1.jpg
webp	300	92	60264	0.00046377	./quality-samples/sample1.jpg
webp	300	100	91694	0.00002038	./quality-samples/sample0.jpg
webp	300	98	49656	0.00052188	./quality-samples/sample0.jpg
webp	300	99	51300	0.0004933	./quality-samples/sample0.jpg
webp	300	97	47706	0.00055767	./quality-samples/sample0.jpg
webp	300	96	46676	0.000578	./quality-samples/sample0.jpg
webp	300	87	46366	0.00114396	./quality-samples/sample3.jpg
webp	300	88	48412	0.00104833	./quality-samples/sample3.jpg
webp	300	89	50932	0.00096418	./quality-samples/sample3.jpg
webp	300	90	52802	0.00091595	./quality-samples/sample3.jpg
webp	300	86	43370	0.00129001	./quality-samples/sample3.jpg
webp	300	97	80970	0.00024811	./quality-samples/sample1.jpg
jpeg	300	70	14816	0.00172907	./quality-samples/sample2.jpg
jpeg	300	70	33174	0.0025382	./quality-samples/sample0.jpg
webp	300	96	78604	0.00026104	./quality-samples/sample1.jpg
webp	300	98	87888	0.00022021	./quality-samples/sample1.jpg
webp	300	99	93002	0.00020927	./quality-samples/sample1.jpg
webp	300	100	218136	0.00001816	./quality-samples/sample1.jpg
jpeg	300	71	15089	0.00163659	./quality-samples/sample2.jpg
